icd_code,root
J95821,J95
I81,I81
T82868A,T82
K766,K76
I8510,I85
K740,K74
I864,I86
Y838,Y83
K7460,K74
42612,I44
2662,E53
71594,M15
4580,I95
3659,H40
7224,M50
72252,M50
E8781,
V1011,Z85
V1083,Z85
V173,Z81
V113,
I5022,I50
N184,N18
J9383,J93
D689,D68
I25119,I25
I953,I95
E8770,E87
Z20828,Z20
I340,I34
I2721,I27
S12390A,S12
J9690,J96
S27321A,S27
S14109A,S14
S2220XA,S22
F10121,F10
A0472,A04
G960,G96
S22020A,S22
S12490A,S12
S12590A,S12
S12690A,S12
S93409A,S93
W109XXA,W10
Y9289,Y92
S0101XA,S01
F1290,F12
M5382,M53
42732,I47
04110,B95
V5866,Z51
V5863,Z51
30981,F43
7847,G44
V8531,Z68
71690,M12
J9621,J96
I82412,I82
C7B8,C7B
I871,I87
C7A8,C7A
J449,J44
Z85048,Z85
F4310,F43
N189,N18
K265,K26
J811,J81
D688,D68
I471,I47
K255,K25
K209,K20
B182,B18
K7031,K70
F1011,F10
K660,K66
K3189,K31
Z5309,Z53
G8929,G89
Z6824,Z68
K449,K44
I82422,I82
I9751,I97
Y92234,Y92
5722,K75
45620,I85
5712,K70
30301,F10
5711,K70
45989,R58
9651,
E9500,
431,I61
04104,B95
K8521,K85
F10288,F10
K862,K86
K567,K56
K316,K31
K8689,K86
Z6832,Z68
R000,R00
I951,I95
H05013,H05
G08,G08
R6520,R65
G92,G92
D693,D69
B370,B37
Z6843,Z68
L03211,L03
M329,M32
J0140,J01
I272,I27
E6601,E66
Z87310,Z87
G894,G89
E1140,E11
E1165,E11
Z794,Z79
J324,J32
D631,D63
2397,D49
V4586,Z95
57451,K80
78009,R45
V8801,
I7102,I71
Z7982,Z79
R571,R57
I639,I63
S0219XA,S02
I428,I42
T82110A,T82
D170,D17
R0600,R06
G9389,G93
N400,N40
W19XXXA,W19
Z4502,Z45
5772,K85
5770,K85
11289,B37
2869,D66
5771,K85
30393,F10
24900,
V103,Z85
79311,R93
E9319,
K7469,K74
K767,K76
A4151,A41
K661,K66
K659,K65
K7201,K72
T8119XA,T81
J95851,J95
R188,R18
I97610,I97
T80219A,T80
K7581,K75
I25118,I25
R627,R62
B9689,B96
B9561,B95
9711,T44
4588,I95
27651,E87
29181,F10
E9504,
29570,F20
6961,L40
78820,N23
78060,R45
79431,R94
7099,L81
9809,
E9509,
53140,K25
0088,A04
53010,K22
04149,B95
5533,K41
2769,E87
28860,D70
E9353,
I25718,I25
Y658,Y65
Y713,Y71
I714,I71
N1831,N18
N401,N40
R338,R33
I6930,I69
193,C73
99812,T81
4430,I73
43310,
Z85850,Z85
82111,S72
9010,S25
80704,S22
E8120,
E8495,
