icd_code,root
3709,H16
7098,L81
3739,
S2509XA,S25
S32491A,S32
S06360A,S06
S73004A,S73
S36039A,S36
C778,C77
K313,K31
T85848A,T85
42099,I32
N178,N17
C252,C25
K3580,K35
2631,E44
80026,S02
L02416,L02
L97426,L97
M21272,M21
2849,D61
78909,R10
462,J02
1965,C77
78053,R45
73315,M81
1966,C77
73311,M81
S2232XD,S22
Z4889,Z48
M62838,M62
0543,B00
I63422,I63
0310,A31
G4752,G47
L280,L28
40591,I15
Y92012,Y92
N3289,N32
F341,F34
Z96643,Z96
Z87898,Z87
L97929,L97
T460X5A,T46
L89322,L89
I602,I60
G8384,G83
1579,C25
M19012,M19
I63541,I63
R29704,R29
T7840XA,T78
F459,F45
L740,L74
T782XXA,T78
J385,J38
F445,F44
Z87892,Z87
R0602,R06
53784,K31
59080,N11
4255,I42
3558,G57
36000,H44
36504,H40
7439,Q11
44629,
E9310,
1560,C23
5181,J98
E8704,
R402113,R40
R402213,R40
G932,G93
R402353,R40
R633,R63
H5010,H50
Z8522,Z85
43813,I69
43883,I69
80006,S02
82121,S72
80106,S02
I50814,I50
E079,E07
1520,C17
57481,K80
53191,K25
I2723,I27
1759,C50
C228,C22
M10021,M10
K912,K91
4232,I31
64101,O44
66922,O75
66632,O72
66551,
65421,O34
66331,
66702,O73
J701,J70
M88852,M88
M88851,M88
M88811,M88
M880,M88
M8888,M88
K121,K12
90453,S75
86601,S37
90451,S75
82301,S82
E8122,
S21119A,S21
G312,G31
S298XXA,S29
W25XXXA,W25
S06349A,S06
E291,E29
I69122,I69
E9299,
78960,R10
I342,I34
4329,I62
56944,K62
K083,K08
I70262,I70
I674,I67
N1832,N18
F0631,F06
F5104,F51
6140,
6143,
6173,N80
6289,N97
6175,N80
8830,S61
82022,S72
E8842,
T391X2A,T39
K7111,K71
C9201,C92
R824,R82
9630,T45
S43421A,S43
A427,A42
I2690,I26
J852,J85
46411,J04
27803,E66
47874,J34
72992,M79
49122,J41
586,N19
V143,
92400,S70
V141,
78441,G44
M3214,M32
Y829,Y82
Z89412,Z89
9916,T33
3359,G12
M00062,M00
I339,I33
T8611,T86
M00012,M00
M659,M65
58281,N03
V4587,Z95
28246,D58
28249,D58
T500X5A,T50
K260,K26
M11262,M11
M13162,M13
K8070,K80
L0100,L01
74781,
325,G08
8088,S32
86131,
86415,S36
E882,
20501,C92
V4282,
M21331,M21
Q774,Q77
E65,E65
M79662,M79
C718,C71
1534,C18
8260,S92
Q2549,Q25
M1711,M17
3239,G04
34282,G81
37854,H50
3519,
01300,
01330,
34202,G81
00863,A04
78340,R63
T428X2A,T42
T402X2A,T40
Q230,Q23
E7212,E72
E0810,E08
0319,A31
V011,Z20
5277,K11
J84112,J84
N433,N43
F3289,F32
N8502,N85
E611,E61
M160,M16
M47817,M47
M47818,M47
Z28311,Z28
Z975,Z97
3249,
42652,I44
T8029XA,T80
L03311,L03
S301XXA,S30
M62830,M62
M4126,M41
F5000,F50
R293,R29
33399,
33900,G44
I050,I05
L439,L43
J310,J31
1978,C78
H5703,H57
40501,I15
7530,
K8581,K85
F1099,F10
K5130,K51
L03313,L03
S20361D,S20
W57XXXD,W57
K8051,K80
T7601XA,T76
4404,I70
56984,K62
3568,G60
5379,K31
8748,S11
8728,S01
Y93H1,Y93
I708,I70
C519,C51
E242,E24
C52,C52
E099,E09
V1241,
99590,T78
72973,M79
5374,K31
55220,K41
S065X1A,S06
4821,J15
4375,I67
L0201,L02
J0430,J04
J028,J02
Q992,Q99
5690,K62
36970,H54
4262,I44
2535,E22
2532,E22
2273,D35
2448,E89
V6442,
J121,J12
45387,I82
E9390,
1706,C41
H4901,H49
B589,B58
T370X6A,T37
7827,R20
20969,C7A
20929,C7A
20972,C7A
45386,I82
42090,I32
0092,A09
7808,R45
20208,C82
7051,L74
27730,E84
Y9301,Y93
57461,K80
30789,F98
5306,K22
N250,N25
2165,D23
I774,I77
R208,R20
D593,D59
D594,D59
81503,S62
E8162,
I82C22,I82
D563,D56
C155,C15
I69998,I69
Z03818,Z03
D5740,D57
6111,N61
80141,S02
95899,
80101,S02
M4628,M46
M96842,M96
Z9081,Z90
T148XXS,T14
N739,N73
H4920,H49
Z5731,Z57
G3183,G31
G43919,G43
T450X2A,T45
B372,B37
81603,S62
8064,S14
25081,E11
Q7969,Q79
4269,I44
G7001,G70
D150,D15
G7000,G70
C37,C37
K250,K25
43401,I66
2698,
D589,D58
T8454XD,T84
E561,E56
V5877,Z51
V620,
M40295,M40
T446X6A,T44
S2221XA,S22
J42,J42
59654,N32
V5416,Z51
4710,J33
70704,L89
70721,L89
T447X6A,T44
A310,A31
G9601,G96
52109,K02
F1027,F10
4770,J30
O9842,O98
O99113,O99
O721,O72
O9081,O90
O9963,O99
O99285,O99
Z3A39,Z3A
Z370,Z37
J432,J43
Z9489,Z94
Z8051,Z80
C7971,C79
R443,R44
A4153,A41
L500,L50
D513,D51
T462X5A,T46
J387,J38
J989,J98
M8000XA,M80
D862,D86
D8685,D86
B179,B17
S82851M,S82
17372,C44
20502,C92
E9466,
G9732,G97
I613,I61
R253,R25
I82492,I82
07811,B08
K819,K81
4881,J09
S32811A,S32
S3729XA,S37
S82401A,S82
E9433,
H8109,H81
D691,D69
7089,L50
E9170,
E8494,
E0073,
8911,S81
L02512,L02
T3111,T31
T20212D,T20
T20211D,T20
T2024XD,T20
T22212D,T22
T22211D,T22
T2124XD,T21
T24202D,T24
T24201D,T24
X020XXD,X02
E049,E04
A045,A04
E010,E01
M0009,M00
L02818,L02
M1A9XX1,M1A
N139,N13
31089,F07
C342,C34
T85628A,T85
L99,L99
K2100,K21
44029,I70
N131,N13
L97219,L97
53100,K25
30392,F10
6256,N94
G8250,G82
R7301,R73
M4622,M46
D3A8,D3A
I0981,I09
E113599,E11
T41295A,T41
G8912,G89
K056,K05
57142,K70
30593,F10
99561,T78
30553,F10
E9378,
S12130A,S12
S12100A,S12
V4362XA,V43
36570,H40
9351,T18
20921,C7A
V8534,Z68
28989,D75
71949,M25
I6789,I67
R053,R05
4417,I71
V741,
87373,S01
80705,S22
R29735,R29
D496,D49
M8668,M86
J941,J94
30011,F41
3940,I05
J4551,J45
4530,I82
2386,D48
0527,B01
94204,T21
52800,K12
R402323,R40
M21062,M21
S83282A,S83
E2839,E28
F6081,F60
I616,I61
I63433,I63
R29721,R29
T45615A,T45
27400,M10
7149,M06
E9283,
3068,F45
99701,
53510,K29
28243,D58
M00052,M00
D802,D80
T82868D,T82
R092,R09
M00852,M00
M00811,M00
H3093,H30
L89159,L89
L89010,L89
M60011,M60
I76,I76
H30893,H30
3313,G30
37701,H47
2379,D44
V5301,
B001,B00
L89104,L89
C880,C88
I5084,I50
I50810,I50
B91,B91
4242,I34
138,B91
73689,M21
41022,I21
V888XXA,V88
Y9269,Y92
2690,
I725,I72
I82A11,I82
T8859XA,T88
R059,R05
7825,R20
Z5321,Z53
K8592,K85
E139,E13
Z903,Z90
J1008,J10
Z9011,Z90
C768,C76
9522,
99709,
3369,G95
8630,
9181,
78723,R19
37850,H50
3509,G50
28731,D69
75683,Q75
R008,R00
F1129,F11
R7402,R74
L732,L73
N920,N92
R1013,R10
Z91138,Z91
A084,A08
E0580,E05
M8008XA,M80
82525,S99
E9585,
44024,I70
5880,N25
99769,
E8785,
99762,
G372,G37
M86672,M86
G40911,G40
5192,J95
49300,J45
C761,C76
R222,R22
L539,L53
F10259,F10
T82598A,T82
S06350A,S06
S0180XA,S01
Y0802XA,Y08
Y753,Y75
44321,I73
V446,
5934,N28
V1242,
81305,S52
5933,N28
Z7722,Z77
K440,K44
S42211A,S42
66614,O72
66914,O75
64824,
H1132,H11
4476,I77
37239,H10
R29720,R29
K113,K11
I63442,I63
M4644,M46
L03031,L03
S36030A,S36
S06A1XA,S06
Y92193,Y92
Q909,Q90
T50996A,T50
9052,S02
I43,I43
H53461,H53
2375,D44
3576,G61
79099,R78
4619,J01
2899,D75
T486X6A,T48
M12841,M12
J4521,J45
Z85060,Z85
9984,T81
7470,
36210,H35
V4961,R68
V4971,R68
E8717,
R312,R31
K56690,K56
N1339,N13
Z8544,Z85
G9782,G97
96979,
4830,J15
I238,I23
43822,I69
20158,C81
35782,G61
5081,
I63322,I63
R29732,R29
Y738,Y73
3209,G00
37430,H02
78937,R10
220,D27
2189,D25
3589,G70
37810,H50
Q283,Q28
Z89429,Z89
S72451A,S72
Y92091,Y92
N130,N13
Y92538,Y92
I70709,I70
E113591,E11
I259,I25
Q410,Q41
S7012XA,S70
5988,N35
I6349,I63
T40415A,T40
T17220A,T17
F323,F32
M7552,M75
M7551,M75
Z947,Z94
H5461,H54
H16001,H16
H44521,H44
I2609,I26
Z6845,Z68
M25462,M25
53390,K27
2521,E21
G4482,G44
E9454,
B178,B17
J3489,J34
R1012,R10
D860,D86
K200,K20
I82601,I82
B950,B95
M71131,M71
E9392,
S32461A,S32
S92912A,S92
S92321A,S92
S92241A,S92
29012,F03
5362,K31
S72142A,S72
S329XXA,S32
R52,R52
W11XXXA,W11
Y92096,Y92
E9363,
V5883,Z51
I6011,I60
V5413,Z51
2441,E89
38830,H93
B358,B35
E989,
N859,N85
I6503,I65
F4322,F43
B348,B34
M792,M79
L98411,L98
T461X5A,T46
M438X4,M43
G210,G21
9040,S75
E8701,
V1559,Z91
F068,F06
6119,N61
R40243,R40
9663,
29653,F30
85229,S06
4379,I67
G373,G37
M96840,M96
T8142XA,T81
M79A22,M79
G9589,G95
G8252,G82
N312,N31
G904,G90
72982,M79
Z974,Z97
L97811,L97
L97821,L97
I281,I28
N202,N20
M899,M89
7593,Q89
9800,
7093,L81
T594X1A,T59
J681,J68
8076,S22
81411,S62
80239,S02
8025,S02
E8136,
81501,S62
V1002,Z85
V146,
L538,L53
S1982XA,S19
82101,S72
86501,S36
62571,N94
V872,
L89323,L89
L97421,L97
S7002XA,S70
L89222,L89
L89212,L89
Y93B9,Y93
Y92198,Y92
Z87311,Z87
L89614,L89
L89314,L89
L89326,L89
S0232XA,S02
S32512A,S32
R402322,R40
S02122A,S02
S02102A,S02
S02632A,S02
R402232,R40
S42141A,S42
H4900,H49
Y92815,Y92
S01412A,S01
S01112A,S01
S0512XA,S05
H21562,H21
F4010,F40
H73891,H73
J0510,J05
C8299,C82
K130,K13
T86891,T86
V4283,
25003,E11
T86890,T86
Q969,Q96
M25562,M25
2469,E07
37749,H47
B967,B96
Z9010,Z90
Z902,Z90
19882,C79
E9356,
86329,
85402,S06
82321,S82
8240,S82
8242,S82
M13862,M13
80136,S02
I7779,I77
I459,I45
C499,C49
9698,
E8548,
T82338A,T82
7424,Q01
S32020D,S32
S22060D,S22
80221,S02
30562,F10
80020,S02
99581,T78
E9670,
5739,K76
4778,J30
71239,
49302,J45
48282,J15
2733,D89
G8334,G83
V1279,
56781,K67
99779,
44284,I72
K8032,K80
L509,L50
N719,N71
Y92511,Y92
K82A2,K82
E441,E44
T85520A,T85
I82891,I82
K82A1,K82
R1311,R13
V4575,Z95
3071,F98
53011,K22
80505,S12
D45,D45
9894,T65
E8637,
2555,E24
I7411,I74
R9401,R94
R29708,R29
I716,I71
9047,S75
D122,D12
M79661,M79
80036,S02
86132,
932,T17
S36420A,S36
S27892A,S27
S36220A,S36
S80211A,S80
81321,S52
81220,S42
N9981,N99
6191,N82
7048,L65
49120,J41
22804,
85205,S06
34882,G93
78033,R45
E8190,
I824Y1,I82
M25519,M25
M8448XG,M84
D1803,D18
T83020A,T83
N35014,N35
T8789,T87
37034,H16
53430,K28
5793,K90
5552,K50
5130,J85
G9762,G97
H109,H10
R402411,R40
I70268,I70
L89320,L89
L89310,L89
E9420,
80110,S02
37273,H10
80226,S02
87362,S01
S82392C,S82
S72401A,S72
S82142B,S82
S3282XA,S32
S82301B,S82
Y92414,Y92
S92001A,S92
S92314A,S92
S92324A,S92
44773,I77
81231,S42
81311,S52
81250,S42
8678,S37
C269,C26
S14132A,S14
S36112A,S36
S36029A,S36
S12030A,S12
M4810,M48
E9344,
86813,
E8282,
E0061,
F14988,F14
S02402A,S02
S028XXA,S02
S7001XA,S70
Z2821,Z28
R070,R07
F17220,F17
4290,I51
99669,T82
1963,C77
1741,C50
G9619,G96
G40319,G40
F519,F51
7226,M50
7910,R80
44281,I72
47821,J34
47829,J34
5951,N30
I82A21,I82
H9201,H92
6262,N91
8794,S21
88100,S51
C8592,C85
C884,C88
H4903,H49
M5459,M54
S322XXS,S32
X58XXXS,X58
T440X5A,T44
Z9483,Z94
H53122,H53
0030,A02
5699,K62
58889,N25
5969,N32
7068,L70
9089,
1101,B35
29622,F30
2390,D49
4149,I25
I824Z3,I82
56949,K62
8404,S43
Y92030,Y92
Z62819,Z62
F5089,F50
D1809,D18
47832,J34
V560,Z49
R361,R36
R809,R80
9210,S00
G40219,G40
Z969,Z96
L80,L80
81315,S52
80713,S22
82131,S72
8605,S27
8221,S82
9032,S45
E9654,
07041,B15
4564,I85
72401,M48
42091,I32
34591,G40
V1869,Z83
95208,
87344,S01
L03113,L03
8074,S22
E8810,
K8040,K80
R936,R93
G039,G03
O670,O67
O8620,O86
O9952,O99
O321XX0,O32
O34211,O34
O3412,O34
N802,N80
N801,N80
N9489,N94
N803,N80
O9962,O99
N800,N80
N808,N80
O135,O13
Z3A26,Z3A
1974,C78
1981,C79
5799,K90
7868,R06
82300,S82
81221,S42
81109,S42
3518,
F429,F42
S52614A,S52
L89610,L89
S52124A,S52
S43001A,S43
T446X5A,T44
W231XXA,W23
Y92092,Y92
S70311A,S70
S30810A,S30
K140,K14
87269,S01
86413,S36
S12500A,S12
S22089A,S22
S12401A,S12
S12601A,S12
Y92121,Y92
S52512D,S52
S52612D,S52
G009,G00
E230,E23
43331,
T82856A,T82
T39391A,T39
L97428,L97
D132,D13
M7910,M79
V501,
K8301,K83
V427,
K433,K43
I6202,I62
H5581,H55
4272,I47
0041,A03
80325,S02
37140,H17
35989,G71
2732,D89
37420,H02
4162,I27
I63449,I63
M60003,M60
M461,M46
S73014A,S73
S82091A,S82
S92191A,S92
W2211XA,W22
03841,A40
27903,D80
V6549,Z76
C062,C06
C060,C06
V5811,Z51
E739,E73
9828,T52
E9809,
5528,K41
S24113A,S24
S21331A,S21
G8221,G82
X959XXA,X95
Y9389,Y93
Y92830,Y92
S81041A,S81
S71142A,S71
S41032A,S41
S41031A,S41
G7289,G72
F064,F06
I675,I67
I69934,I69
I69911,I69
T41205A,T41
R3589,R35
1809,C53
5296,K14
2822,D58
1808,C53
73819,M95
88110,S51
8770,S31
88003,
8900,S71
E9060,
V045,Z23
H04122,H04
Z170,Z17
36847,H53
T83518A,T83
L0231,L02
I69328,I69
N738,N73
L89216,L89
L89210,L89
G40804,G40
I608,I60
1504,C15
9999,T88
T85590A,T85
53013,K22
K430,K43
35800,G70
2250,D33
6029,N42
57480,K80
85200,S06
8191,S22
8280,S52
81210,S42
J9620,J96
V8522,Z68
96905,
96903,
Y813,Y81
1832,C56
6170,N80
6202,N83
2781,E66
Q453,Q45
K860,K86
G3189,G31
L821,L82
R402233,R40
53082,K22
R221,R22
K558,K55
40211,I11
2682,E55
2913,F10
N412,N41
H4749,H47
N419,N41
H5789,H57
H5123,H51
G6181,G61
R442,R44
S3991XA,S39
M21379,M21
I67841,I67
R6884,R68
78066,R45
6146,
E9424,
A879,A87
L600,L60
Z95811,Z95
M79A21,M79
I236,I23
I2583,I25
D123,D12
K55021,K55
K450,K45
I82221,I82
I82512,I82
I82522,I82
H1131,H11
33119,G30
I80252,I80
R130,R13
Z8774,Z87
S72351A,S72
S02831A,S02
V134XXA,V13
0091,A09
9708,T50
30502,F10
7931,R93
E236,E23
Z3A24,Z3A
N2589,N25
K4000,K40
Z8612,Z86
B169,B16
K560,K56
E0965,E09
R7611,R76
36500,H40
T464X5A,T46
E612,E61
N171,N17
N261,N26
I612,I61
M5431,M54
K8050,K80
D130,D13
D125,D12
R701,R70
H02102,H02
H02105,H02
H04203,H04
Z48812,Z48
H579,H57
R1909,R19
T404X5A,T40
V8381,
37741,H47
99663,T82
35801,G70
37432,H02
T8454XA,T84
C50912,C50
N8110,N81
30570,F10
H04129,H04
6828,L03
72939,M79
K51018,K51
K745,K74
Z8379,Z83
C8590,C85
I2541,I25
L251,L25
I82220,I82
D72820,D72
7801,R45
M310,M31
R480,R48
R3121,R31
K599,K59
R6250,R62
I209,I20
G7111,G71
9093,T50
V8545,Z68
30781,F98
T411X5A,T41
G042,G04
M3481,M34
K743,K74
2734,D89
25092,E11
3699,H54
1760,C46
Z9989,Z99
M19042,M19
M19041,M19
I425,I42
D126,D12
R402434,R40
O9943,O99
Z3A00,Z3A
F1921,F19
R4587,R45
3229,G03
74193,Q05
K611,K61
L03317,L03
N7689,N76
T373X5A,T37
R232,R23
G4710,G47
56960,K62
2111,
G988,G98
G9781,G97
G244,G24
G300,G30
J8283,J82
G4731,G47
M159,M15
M1909,M19
G4737,G47
M8448XA,M84
S42021A,S42
S75192A,S75
I062,I06
29530,F20
30591,F10
Q256,Q25
J340,J34
L88,L88
71693,M12
71695,M12
T461X6A,T46
N320,N32
N39490,N39
99644,T82
39891,
0400,A48
0940,A52
25073,E11
36202,H35
71534,M15
J3802,J38
K5733,K57
C7902,C79
G6289,G62
7462,
99642,T82
1729,C43
M9689,M96
A1801,A18
M79671,M79
Z8611,Z86
73088,M86
01500,A18
V1365,Z87
4536,I82
C140,C14
R262,R26
S5011XA,S50
T8613,T86
R062,R06
4441,I74
M311,M31
7871,R19
37956,H15
3102,F07
I69811,I69
I63511,I63
V8802,
85181,S06
69589,L53
6982,L29
4160,I27
69513,L53
55229,K41
7580,Q90
3181,F71
1370,B90
37410,H02
M86172,M86
I70244,I70
R258,R25
Z85830,Z85
M25551,M25
C414,C41
4749,
H8110,H81
Z9350,Z93
E639,E63
C792,C79
1749,C50
T375X5S,T37
Q603,Q60
K713,K71
64781,
2116,
64891,
78902,R10
65811,
66301,
65221,O32
66982,O75
66121,
99667,T82
6988,L29
S02401A,S02
S023XXA,S02
S52501A,S52
42511,I42
I2129,I21
C800,C80
K1239,K12
4474,I77
2182,D25
7018,L90
C9210,C92
J8489,J84
S62002A,S62
6959,L53
43882,I69
99802,T81
6019,N41
40301,I12
42840,I50
2808,D50
B659,B65
72293,M50
86612,S37
E8732,
Y92011,Y92
C328,C32
C131,C13
R39198,R39
R234,R23
C321,C32
Q019,Q01
G918,G91
B449,B44
Z77090,Z77
80608,S14
81343,S52
D8689,D86
1103,B35
I97611,I97
J392,J39
Z20818,Z20
E0900,E09
T50Z15A,T50
I6782,I67
T8571XA,T85
Y841,Y84
K624,K62
M898X9,M89
J1108,J11
M436,M43
G243,G24
2884,D70
R5084,R50
I63112,I63
G464,G46
I999,I99
I6783,I67
H3412,H34
H47012,H47
M25532,M25
D569,D56
B958,B95
C8442,C84
S065X0S,S06
K700,K70
Y92231,Y92
56982,K62
K852,K85
36260,H35
36615,H26
83500,S73
L293,L29
7104,M32
R402333,R40
Z560,Z56
F900,F90
T445X5A,T44
K654,K65
70706,L89
K5652,K56
I69311,I69
42653,I44
V1047,Z85
2443,E89
5194,J95
3419,
T82528A,T82
K460,K46
N938,N93
M4712,M47
G360,G36
C479,C47
R330,R33
T428X5A,T42
M6702,M67
7011,L90
C189,C18
T82525A,T82
L988,L98
1973,C78
61172,N61
M3131,M31
M300,M30
N058,N05
7038,L60
A483,A48
2531,E22
0391,L08
36641,H26
36844,H53
D72821,D72
M1120,M11
Z8553,Z85
E240,E24
C84A1,C84
75481,Q67
G4440,G44
T463X5A,T46
R1011,R10
G8101,G81
V145,
36616,H26
25542,E24
37932,H15
H5509,H55
H5704,H57
G2589,G25
T43612A,T43
T83022A,T83
Z8559,Z85
R351,R35
S22081A,S22
I679,I67
Z5902,Z59
80100,S02
K8591,K85
71947,M25
Z575,Z57
T45512A,T45
T466X2A,T46
80326,S02
25072,E11
V603,
I97791,I97
S42102A,S42
L89101,L89
S0572XA,S05
S4292XA,S42
S1181XA,S11
S31010A,S31
W458XXA,W45
5994,N39
53490,K28
9053,S02
R938,R93
D580,D58
E9398,
E9601,
G809,G80
J930,J93
P271,P27
R358,R35
G5623,G56
N6324,N63
49391,J45
28412,D61
4440,I74
J95822,J95
N5089,N50
1533,C18
2163,D23
39890,
C021,C02
R29722,R29
Q743,Q74
G7109,G71
T85398A,T85
Q860,Q86
E881,E88
N83209,N83
M40209,M40
G7100,G71
T444X5A,T44
53989,K95
53450,K28
K118,K11
K1120,K11
S72101A,S72
M9701XA,M97
84200,S66
C9111,C91
M4624,M46
3960,I08
33510,G12
T8351XA,T83
S065X0D,S06
W010XXD,W01
K612,K61
L02215,L02
K6131,K61
K6139,K61
T383X5A,T38
9713,T44
E8556,
K5520,K55
1121,B37
V1250,
677,O94
D891,D89
E8762,
E858,E85
D759,D75
S01511A,S01
5272,K11
1460,C09
78863,N23
I4439,I44
5779,K85
3335,
7483,
1124,B37
O98711,O98
O26611,O26
O99111,O99
O99341,O99
O99611,O99
O99511,O99
Z3A08,Z3A
O9942,O99
O9872,O98
O99334,O99
O6982X0,O69
Z3A37,Z3A
I97810,I97
J9588,J95
I63532,I63
Z48811,Z48
C781,C78
D1339,D13
D131,D13
D481,D48
E6609,E66
2538,E22
S06A0XA,S06
Y92017,Y92
I38,I38
D6189,D61
G2409,G24
T434X5S,T43
T443X5A,T44
A6920,A69
H5710,H57
92300,S40
92411,S70
43819,I69
2462,E07
29285,F19
K754,K75
E161,E16
Y731,Y73
C4359,C43
T84610A,T84
L02413,L02
T84622A,T84
M5441,M54
83104,S43
I1310,I13
85222,S06
4918,J41
A403,A40
T8743,T87
I82533,I82
T450X5A,T45
T458X5A,T45
F11288,F11
T400X1A,T40
M75100,M75
M609,M60
B9629,B96
71231,
E8668,
3501,G50
V602,
1569,C23
Y92512,Y92
S6991XA,S69
K2981,K29
S61412A,S61
S0001XA,S00
V0981,Z16
20010,C83
1892,C64
K56699,K56
C7911,C79
C675,C67
53440,K28
V8812,
35981,G71
1986,C79
1539,C18
9095,T50
E113293,E11
K55042,K55
S72341A,S72
S72331A,S72
45375,I82
45377,I82
B010,B01
T45511A,T45
C139,C13
C109,C10
K1379,K13
F439,F43
T450X1A,T45
F14188,F14
F11188,F11
T148,T14
W5589XA,W55
28260,D58
80600,S14
43320,
E8830,
9072,S06
E9298,
36840,H53
Z87890,Z87
L2489,L24
D571,D57
S36119A,S36
65961,O61
B259,B25
J703,J70
I2589,I25
C251,C25
B4489,B44
I2789,I27
D7212,D72
V470XXA,V47
E784,E78
99732,
Y636,Y63
1459,C06
K7041,K70
K9183,K91
74685,
59969,N39
78607,R06
6021,N42
I301,I30
I970,I97
I83893,I83
N323,N32
78842,N23
262,E43
6970,L66
T83193A,T83
T83593A,T83
D495,D49
K765,K76
T85598A,T85
R198,R19
R402253,R40
F10230,F10
G959,G95
25202,E21
G839,G83
R1114,R11
S41111A,S41
F1311,F13
T50901A,T50
326,G09
96561,
Y92838,Y92
S27803A,S27
S25501A,S25
S3630XA,S36
S37031A,S37
T8451XA,T84
M47819,M47
46400,J04
F202,F20
I69319,I69
64894,
64294,O10
64614,O31
56985,K62
40311,I12
74761,
I21A9,I21
B572,B57
O43213,O43
O753,O75
O99834,O99
O42913,O42
Z3A31,Z3A
O678,O67
O99344,O99
Z2252,Z22
G308,G30
5735,K76
C7901,C79
C7491,C74
C44329,C44
M21612,M21
M21611,M21
L728,L72
E200,E20
K8000,K80
D690,D69
L400,L40
T364X5A,T36
T17900A,T17
1552,C22
J851,J85
J850,J85
K8030,K80
R194,R19
T79A3XA,T79
A159,A15
N7092,N70
S069X0S,S06
L739,L73
J95860,J95
47822,J34
2334,D05
Z8500,Z85
R432,R43
T7801XA,T78
5961,N32
S066X7A,S06
D7389,D73
K5669,K56
C451,C45
C01,C01
R1112,R11
2812,D51
V171,Z81
C495,C49
86500,S36
71595,M15
44770,I77
80501,S12
V8409,
9561,
V5875,Z51
T398X5A,T39
K523,K52
F5109,F51
Z8349,Z83
G259,G25
1910,C71
34551,G40
N821,N82
N822,N82
N828,N82
N824,N82
44289,I72
J82,J82
5275,K11
O99352,O99
Y92413,Y92
S42022A,S42
S0003XA,S00
E1136,E11
S51812A,S51
T5191XA,T51
I7410,I74
R8290,R82
S72141A,S72
K623,K62
K621,K62
M84551A,M84
M9711XA,M97
0419,B95
I69992,I69
S82841B,S82
V484XXA,V48
F333,F33
36274,H35
52809,K12
F0630,F06
Z85819,Z85
E9447,
87340,S01
9219,S00
78903,R10
0463,
7280,M60
0979,A52
53084,K22
3549,G56
C154,C15
N760,N76
M5440,M54
78050,R45
7835,R63
G600,G60
Q245,Q24
I169,I16
T40425A,T40
C048,C04
C040,C04
04189,B95
S24112A,S24
S52372A,S52
K592,K59
S22052A,S22
Y92415,Y92
30021,F41
2699,
I514,I51
R9439,R94
A5149,A51
N052,N05
R710,R71
B3742,B37
M50122,M50
M4722,M47
M50123,M50
W102XXA,W10
R0781,R07
F40240,F40
G3101,G31
Z96629,Z96
K9162,K91
L97329,L97
L97319,L97
M4640,M46
30751,F98
2774,E84
E9473,
V7612,Z12
2539,E22
37946,H15
I70211,I70
G5601,G56
L900,L90
J168,J16
J209,J20
J84116,J84
T829XXD,T82
T8452XA,T84
M86652,M86
C184,C18
I70212,I70
I63423,I63
29624,F30
9696,
40599,I15
K712,K71
7211,M47
G913,G91
R6889,R68
80605,S14
8170,
D732,D73
D49512,D49
I69321,I69
S32412A,S32
S3609XA,S36
S42295A,S42
M5032,M50
3182,F71
3341,G11
I150,I15
B9729,B97
5754,K81
73741,M40
81500,S62
9190,T07
I70222,I70
N99821,N99
485,J18
V1641,Z80
20281,C82
38910,H90
52460,
700,L84
E11628,E11
B0229,B02
L89613,L89
G301,G30
5993,N39
4549,I83
37311,
S06370A,S06
4581,I95
9895,T65
E9053,
E8161,
2706,E72
T8130XA,T81
K702,K70
F09,F09
1883,C67
7310,M88
V065,Z23
K027,K02
53170,K25
J860,J86
R29733,R29
K319,K31
82523,S99
S72114A,S72
E278,E27
I6501,I65
1913,C71
S52502D,S52
S32019D,S32
V0319XA,V03
N50819,N50
K55069,K55
K9182,K91
23989,D49
L0211,L02
A413,A41
L02213,L02
M8618,M86
M0000,M00
Q130,Q13
S02113A,S02
S01311A,S01
2864,D66
I82629,I82
C8333,C83
T453X5A,T45
7930,R93
3330,
S82842A,S82
07053,B15
Q858,Q85
M96810,M96
M1991,M19
I7091,I70
L309,L30
S06340A,S06
N508,N50
R972,R97
S064X9A,S06
W051XXA,W05
9221,S20
K4020,K40
5600,K56
Z602,Z60
D164,D16
S37032A,S37
S52691A,S52
V8665XA,V86
T182XXA,T18
M793,M79
R939,R93
C8510,C85
I83013,I83
I83023,I83
I83018,I83
I83024,I83
J0390,J03
B2790,B27
470,J34
Z8579,Z85
1589,C48
G001,G00
Q040,Q04
Z141,Z14
30471,F11
3550,G57
92410,S70
95204,
86502,S36
80176,S02
81313,S52
99833,T81
T82330A,T82
5080,
7811,R25
4352,G45
C4361,C43
M79601,M79
Z1635,Z16
N365,N36
Z5332,Z53
N888,N88
E1101,E11
2399,D49
C182,C18
Y712,Y71
G970,G97
J920,J92
51901,J95
6821,L03
G909,G90
G255,G25
H3531,H35
M5414,M54
H402290,H40
55092,K40
2144,D17
99984,T88
R0989,R09
9569,
Q059,Q05
K5780,K57
30250,F66
30285,F66
V170,Z81
47879,J34
F1420,F14
F1520,F15
X810XXA,X81
S40022A,S40
I50813,I50
L7211,L72
D2310,D23
5642,K59
K9413,K94
K9419,K94
I090,I09
R0609,R06
J9571,J95
K833,K83
87402,S11
29623,F30
E956,
4110,I24
53300,K27
29562,F20
N454,N45
L97411,L97
N453,N45
L98421,L98
D420,D42
R402431,R40
S134XXA,S13
Y92007,Y92
25020,E11
